# Zeit in s, Temperatur in °C
0.000000000000000000e+00,2.624150863273757750e+01
2.500000000000000000e-01,2.740355730915455013e+01
5.000000000000000000e-01,2.861087030660724650e+01
7.500000000000000000e-01,2.935288647567682574e+01
1.000000000000000000e+00,3.082529358570738509e+01
1.250000000000000000e+00,3.079893927265779396e+01
1.500000000000000000e+00,3.031053397046879638e+01
1.750000000000000000e+00,3.194443871275458946e+01
2.000000000000000000e+00,3.255595032329349436e+01
2.250000000000000000e+00,3.387226003197448421e+01
2.500000000000000000e+00,3.331622641694036702e+01
2.750000000000000000e+00,3.521970830884641401e+01
3.000000000000000000e+00,3.498506252377553949e+01
3.250000000000000000e+00,3.606974666771549920e+01
3.500000000000000000e+00,3.605325977522349490e+01
3.750000000000000000e+00,3.717429578332350815e+01
4.000000000000000000e+00,3.748982968752050482e+01
4.250000000000000000e+00,3.780157910600188131e+01
4.500000000000000000e+00,3.827535613275448867e+01
4.750000000000000000e+00,3.931142386578125780e+01
5.000000000000000000e+00,3.828877950022970822e+01
5.250000000000000000e+00,3.898095299635762245e+01
5.500000000000000000e+00,3.851092179651217862e+01
5.750000000000000000e+00,3.945850804642690690e+01
6.000000000000000000e+00,3.940655374024558455e+01
6.250000000000000000e+00,4.048150055851590423e+01
6.500000000000000000e+00,4.021674715716591919e+01
6.750000000000000000e+00,4.027797624047754965e+01
7.000000000000000000e+00,4.074761369054963467e+01
7.250000000000000000e+00,4.094610080007610975e+01
7.500000000000000000e+00,4.185719959419378000e+01
7.750000000000000000e+00,4.156817947219303022e+01
8.000000000000000000e+00,4.298610711616161240e+01
8.250000000000000000e+00,4.163992047862642210e+01
8.500000000000000000e+00,4.235626280373289632e+01
8.750000000000000000e+00,4.262153445376632277e+01
9.000000000000000000e+00,4.247733589005326849e+01
9.250000000000000000e+00,4.235543652449246110e+01
9.500000000000000000e+00,4.336503539093095583e+01
9.750000000000000000e+00,4.393731832648631297e+01
1.000000000000000000e+01,4.327454316587481031e+01
1.025000000000000000e+01,4.349177081164386038e+01
1.050000000000000000e+01,4.387972384993905450e+01
1.075000000000000000e+01,4.387534414955405282e+01
1.100000000000000000e+01,4.457644809185127599e+01
1.125000000000000000e+01,4.478641987896350685e+01
1.150000000000000000e+01,4.382722933823276179e+01
1.175000000000000000e+01,4.305761143712611272e+01
1.200000000000000000e+01,4.367505269638586185e+01
1.225000000000000000e+01,4.511071267065891988e+01
1.250000000000000000e+01,4.404245905237600311e+01
1.275000000000000000e+01,4.530853091246548559e+01
1.300000000000000000e+01,4.558736207669479512e+01
1.325000000000000000e+01,4.545719812840074781e+01
1.350000000000000000e+01,4.466689365150615032e+01
1.375000000000000000e+01,4.510086836061614690e+01
1.400000000000000000e+01,4.498535960209714091e+01
1.425000000000000000e+01,4.523050480227768588e+01
1.450000000000000000e+01,4.550683074541477424e+01
1.475000000000000000e+01,4.537064511551335499e+01
1.500000000000000000e+01,4.530904758452543035e+01
1.525000000000000000e+01,4.441244905911496943e+01
1.550000000000000000e+01,4.594837493274312124e+01
1.575000000000000000e+01,4.582501194905012909e+01
1.600000000000000000e+01,4.624023584046020829e+01
1.625000000000000000e+01,4.585253993675043915e+01
1.650000000000000000e+01,4.623495531084621746e+01
1.675000000000000000e+01,4.586751737350343205e+01
1.700000000000000000e+01,4.612025170074389280e+01
1.725000000000000000e+01,4.645000189391067380e+01
1.750000000000000000e+01,4.575013672074643978e+01
1.775000000000000000e+01,4.639406480866944094e+01
1.800000000000000000e+01,4.663465242424334178e+01
1.825000000000000000e+01,4.503971735745280824e+01
1.850000000000000000e+01,4.594545764305345159e+01
1.875000000000000000e+01,4.565347746201555879e+01
1.900000000000000000e+01,4.633342645692183481e+01
1.925000000000000000e+01,4.569384009361913002e+01
1.950000000000000000e+01,4.576114115456191911e+01
1.975000000000000000e+01,4.682240792636911664e+01
2.000000000000000000e+01,4.711682618619904162e+01
2.025000000000000000e+01,4.617131364111481417e+01
2.050000000000000000e+01,4.683100234801199235e+01
2.075000000000000000e+01,4.631035145203442482e+01
2.100000000000000000e+01,4.685347197872999203e+01
2.125000000000000000e+01,4.661488646818477832e+01
